,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date,middle_date_date_y,value_y
49,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,ANO,model psp,0.305,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.3045306538507156
50,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,ODS,model psp,0.14,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.13742045025305932
51,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,Piráti,model psp,0.115,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.12626814555015836
52,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,SPD,model psp,0.09,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.0816992385754273
53,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,KSČM,model psp,0.085,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.08636371278630939
54,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,ČSSD,model psp,0.08,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.08791958107756019
55,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,TOP 09,model psp,0.06,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.04518205723360811
56,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,KDU-ČSL,model psp,0.055,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.053197929273406164
57,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,STAN,model psp,0.04,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.04373890441603876
58,2018-04,Median,http://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf,2018-04-10,2018-05-05,2018-05-11,,,,,ČR,Michal Škop,,,model,2018-04,Zelení,model psp,0.015,Michal Škop,,2018-04-10,2018-05-05,2018-04-22,2018-04-22,2018-04-22,0.012877089292150753
59,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,ANO,model psp,0.305,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.3045657794882797
60,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,ODS,model psp,0.145,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.13693352061889877
61,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,Piráti,model psp,0.145,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.12685993178683486
62,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,KSČM,model psp,0.08,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.08640246754113724
63,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,SPD,model psp,0.08,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.0811804773845843
64,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,ČSSD,model psp,0.065,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.08829461337376934
65,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,KDU-ČSL,model psp,0.055,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.05325929867669051
66,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,STAN,model psp,0.055,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.04380668825189761
67,2018-04,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2107930-trendy_ceska_2018_vlna_39_volebni_model.pdf,2018-04-07,2018-04-27,2018-05-07,,ČT,,,ČR,Michal Škop,,,model,2018-04,TOP 09,model psp,0.04,Michal Škop,,2018-04-07,2018-04-27,2018-04-17,2018-04-17,2018-04-17,0.04498748365689957
68,2017-11,Kantar,http://www.ceskatelevize.cz/ct24/sites/default/files/2030818-trendy_ceska_2017_vlna_36_volebni_model.pdf,2017-11-04,2017-11-24,2017-12-03,,ČT,,,ČR,Michal Škop,,,model,2017-11,ANO,model psp,0.3,Michal Škop,,2017-11-04,2017-11-24,2017-11-14,2017-11-14,2017-11-14,0.3178712175032709
